,RiskPerformance
0,Bad
1,Bad
2,Bad
3,Good
4,Good
5,Bad
6,Bad
7,Good
8,Bad
9,Bad
10,Bad
11,Good
12,Bad
13,Bad
14,Good
15,Bad
16,Good
17,Good
18,Bad
19,Bad
20,Bad
21,Bad
22,Bad
23,Bad
24,Good
25,Good
26,Bad
27,Bad
28,Good
29,Bad
30,Bad
31,Good
32,Bad
33,Good
34,Bad
35,Good
36,Bad
37,Bad
38,Bad
39,Good
40,Good
41,Good
42,Good
43,Good
44,Bad
45,Bad
46,Bad
47,Good
48,Bad
49,Good
50,Bad
51,Good
52,Bad
53,Good
54,Bad
55,Good
56,Good
57,Good
58,Good
59,Good
60,Good
61,Good
62,Bad
63,Bad
64,Good
65,Good
66,Good
67,Bad
68,Bad
69,Good
70,Bad
71,Bad
72,Good
73,Bad
74,Good
75,Bad
76,Bad
77,Good
78,Bad
79,Good
80,Good
81,Good
82,Bad
83,Bad
84,Bad
85,Good
86,Bad
87,Bad
88,Bad
89,Bad
90,Good
91,Bad
92,Good
93,Bad
94,Good
95,Bad
96,Bad
97,Bad
98,Good
99,Good
100,Good
101,Good
102,Good
103,Bad
104,Bad
105,Bad
106,Good
107,Bad
108,Bad
109,Bad
110,Bad
111,Good
112,Bad
113,Good
114,Bad
115,Good
116,Bad
117,Good
118,Bad
119,Bad
120,Good
121,Good
122,Bad
123,Good
124,Good
125,Bad
126,Bad
127,Good
128,Bad
129,Good
130,Bad
131,Bad
132,Good
133,Bad
134,Good
135,Bad
136,Bad
137,Good
138,Bad
139,Good
140,Good
141,Good
142,Bad
143,Good
144,Good
145,Good
146,Good
147,Bad
148,Bad
149,Bad
150,Good
151,Bad
152,Good
153,Good
154,Good
155,Good
156,Bad
157,Good
158,Good
159,Bad
160,Good
161,Bad
162,Good
163,Good
164,Bad
165,Bad
166,Good
167,Bad
168,Bad
169,Good
170,Bad
171,Bad
172,Bad
173,Good
174,Bad
175,Bad
176,Bad
177,Good
178,Good
179,Good
180,Bad
181,Good
182,Bad
183,Bad
184,Good
185,Bad
186,Bad
187,Bad
188,Bad
189,Good
190,Good
191,Bad
192,Good
193,Bad
194,Bad
195,Good
196,Good
197,Good
198,Bad
199,Good
200,Good
201,Good
202,Good
203,Good
204,Bad
205,Good
206,Bad
207,Bad
208,Bad
209,Good
210,Good
211,Bad
212,Bad
213,Bad
214,Good
215,Good
216,Good
217,Good
218,Bad
219,Bad
220,Good
221,Bad
222,Bad
223,Good
224,Bad
225,Bad
226,Bad
227,Good
228,Bad
229,Good
230,Good
231,Good
232,Bad
233,Good
234,Good
235,Bad
236,Bad
237,Good
238,Good
239,Good
240,Good
241,Good
242,Good
243,Bad
244,Bad
245,Good
246,Bad
247,Good
248,Good
249,Good
250,Good
251,Good
252,Good
253,Good
254,Bad
255,Good
256,Good
257,Good
258,Bad
259,Good
260,Good
261,Bad
262,Good
263,Good
264,Bad
265,Good
266,Good
267,Bad
268,Bad
269,Good
270,Bad
271,Good
272,Good
273,Bad
274,Good
275,Bad
276,Bad
277,Good
278,Bad
279,Good
280,Bad
281,Good
282,Good
283,Good
284,Good
285,Good
286,Bad
287,Good
288,Bad
289,Bad
290,Good
291,Good
292,Good
293,Bad
294,Good
295,Good
296,Bad
297,Bad
298,Bad
299,Bad
300,Bad
301,Bad
302,Good
303,Good
304,Good
305,Good
306,Bad
307,Good
308,Good
309,Bad
310,Good
311,Bad
312,Good
313,Good
314,Good
315,Good
316,Good
317,Bad
318,Good
319,Bad
320,Good
321,Bad
322,Bad
323,Bad
324,Good
325,Good
326,Bad
327,Good
328,Good
329,Bad
330,Bad
331,Bad
332,Good
333,Good
334,Good
335,Bad
336,Good
337,Bad
338,Bad
339,Good
340,Bad
341,Bad
342,Good
343,Bad
344,Bad
345,Good
346,Bad
347,Good
348,Bad
349,Good
350,Bad
351,Good
352,Bad
353,Bad
354,Bad
355,Bad
356,Good
357,Bad
358,Bad
359,Bad
360,Good
361,Good
362,Good
363,Good
364,Bad
365,Good
366,Bad
367,Bad
368,Bad
369,Bad
370,Good
371,Bad
372,Good
373,Good
374,Bad
375,Bad
376,Good
377,Bad
378,Good
379,Bad
380,Good
381,Good
382,Good
383,Good
384,Bad
385,Bad
386,Bad
387,Good
388,Good
389,Good
390,Good
391,Bad
392,Bad
393,Bad
394,Bad
395,Bad
396,Bad
397,Good
398,Bad
399,Bad
400,Bad
401,Good
402,Bad
403,Good
404,Bad
405,Good
406,Good
407,Good
408,Good
409,Bad
410,Good
411,Good
412,Bad
413,Bad
414,Bad
415,Good
416,Bad
417,Bad
418,Good
419,Good
420,Good
421,Bad
422,Bad
423,Good
424,Good
425,Good
426,Bad
427,Good
428,Good
429,Bad
430,Bad
431,Bad
432,Good
433,Good
434,Good
435,Good
436,Bad
437,Good
438,Good
439,Good
440,Good
441,Bad
442,Bad
443,Bad
444,Bad
445,Good
446,Bad
447,Bad
448,Good
449,Bad
450,Good
451,Good
452,Good
453,Bad
454,Good
455,Good
456,Bad
457,Good
458,Bad
459,Bad
460,Good
461,Bad
462,Good
463,Good
464,Good
465,Good
466,Good
467,Good
468,Bad
469,Good
470,Good
471,Bad
472,Good
473,Good
474,Bad
475,Bad
476,Good
477,Bad
478,Good
479,Good
480,Good
481,Good
482,Good
483,Bad
484,Bad
485,Bad
486,Bad
487,Bad
488,Good
489,Good
490,Good
491,Good
492,Bad
493,Bad
494,Bad
495,Bad
496,Good
497,Good
498,Bad
499,Good
500,Good
501,Bad
502,Good
503,Good
504,Bad
505,Bad
506,Good
507,Bad
508,Bad
509,Bad
510,Bad
511,Bad
512,Good
513,Bad
514,Good
515,Bad
516,Good
517,Good
518,Good
519,Bad
520,Bad
521,Good
522,Bad
523,Bad
524,Good
525,Bad
526,Good
527,Bad
528,Good
529,Good
530,Good
531,Bad
532,Good
533,Bad
534,Bad
535,Bad
536,Good
537,Good
538,Good
539,Bad
540,Good
541,Bad
542,Good
543,Good
544,Good
545,Good
546,Good
547,Good
548,Bad
549,Good
550,Bad
551,Good
552,Bad
553,Bad
554,Good
555,Good
556,Bad
557,Good
558,Good
559,Bad
560,Good
561,Bad
562,Bad
563,Bad
564,Bad
565,Good
566,Bad
567,Bad
568,Good
569,Bad
570,Bad
571,Good
572,Bad
573,Good
574,Bad
575,Bad
576,Bad
577,Bad
578,Bad
579,Bad
580,Bad
581,Bad
582,Good
583,Bad
584,Good
585,Good
586,Bad
587,Good
588,Good
589,Good
590,Good
591,Bad
592,Bad
593,Good
594,Bad
595,Bad
596,Good
597,Good
598,Good
599,Bad
600,Good
601,Good
602,Good
603,Bad
604,Good
605,Bad
606,Good
607,Good
608,Bad
609,Bad
610,Good
611,Good
612,Good
613,Good
614,Good
615,Bad
616,Good
617,Bad
618,Good
619,Good
620,Good
621,Bad
622,Good
623,Good
624,Bad
625,Good
626,Bad
627,Bad
628,Good
629,Bad
630,Bad
631,Bad
632,Bad
633,Bad
634,Good
635,Bad
636,Bad
637,Good
638,Good
639,Bad
640,Good
641,Good
642,Good
643,Good
644,Good
645,Good
646,Bad
647,Good
648,Good
649,Bad
650,Bad
651,Bad
652,Bad
653,Bad
654,Good
655,Bad
656,Good
657,Good
658,Bad
659,Bad
660,Good
661,Good
662,Bad
663,Bad
664,Bad
665,Good
666,Good
667,Bad
668,Bad
669,Bad
670,Bad
671,Bad
672,Bad
673,Good
674,Good
675,Bad
676,Bad
677,Good
678,Good
679,Bad
680,Bad
681,Bad
682,Bad
683,Bad
684,Good
685,Bad
686,Good
687,Bad
688,Good
689,Good
690,Bad
691,Bad
692,Bad
693,Good
694,Good
695,Bad
696,Bad
697,Bad
698,Good
699,Bad
700,Good
701,Bad
702,Bad
703,Good
704,Good
705,Good
706,Bad
707,Good
708,Bad
709,Bad
710,Good
711,Good
712,Bad
713,Good
714,Bad
715,Bad
716,Bad
717,Bad
718,Good
719,Good
720,Bad
721,Good
722,Good
723,Good
724,Good
725,Good
726,Bad
727,Bad
728,Good
729,Good
730,Bad
731,Good
732,Good
733,Bad
734,Bad
735,Bad
736,Good
737,Bad
738,Good
739,Bad
740,Good
741,Bad
742,Bad
743,Good
744,Bad
745,Bad
746,Good
747,Good
748,Good
749,Good
750,Bad
751,Good
752,Good
753,Bad
754,Bad
755,Bad
756,Bad
757,Bad
758,Good
759,Good
760,Bad
761,Bad
762,Bad
763,Bad
764,Bad
765,Bad
766,Good
767,Good
768,Bad
769,Good
770,Good
771,Bad
772,Bad
773,Bad
774,Good
775,Bad
776,Good
777,Good
778,Good
779,Bad
780,Bad
781,Bad
782,Good
783,Good
784,Good
785,Good
786,Bad
787,Bad
788,Good
789,Bad
790,Bad
791,Bad
792,Bad
793,Bad
794,Bad
795,Bad
796,Good
797,Good
798,Good
799,Bad
800,Bad
801,Good
802,Bad
803,Good
804,Good
805,Good
806,Bad
807,Good
808,Bad
809,Bad
810,Bad
811,Bad
812,Bad
813,Good
814,Good
815,Bad
816,Good
817,Bad
818,Bad
819,Bad
820,Bad
821,Good
822,Good
823,Good
824,Bad
825,Good
826,Good
827,Good
828,Good
829,Bad
830,Bad
831,Good
832,Good
833,Bad
834,Good
835,Good
836,Bad
837,Bad
838,Good
839,Good
840,Bad
841,Bad
842,Good
843,Good
844,Bad
845,Bad
846,Good
847,Good
848,Good
849,Bad
850,Bad
851,Good
852,Good
853,Bad
854,Good
855,Bad
856,Good
857,Bad
858,Good
859,Bad
860,Good
861,Good
862,Bad
863,Good
864,Bad
865,Bad
866,Good
867,Good
868,Bad
869,Bad
870,Bad
871,Bad
872,Bad
873,Bad
874,Bad
875,Bad
876,Good
877,Bad
878,Bad
879,Bad
880,Good
881,Good
882,Good
883,Bad
884,Good
885,Bad
886,Good
887,Good
888,Good
889,Bad
890,Bad
891,Bad
892,Bad
893,Bad
894,Bad
895,Bad
896,Bad
897,Good
898,Good
899,Bad
900,Good
901,Bad
902,Good
903,Good
904,Bad
905,Bad
906,Good
907,Good
908,Bad
909,Bad
910,Good
911,Good
912,Good
913,Good
914,Good
915,Good
916,Bad
917,Bad
918,Good
919,Good
920,Good
921,Good
922,Good
923,Bad
924,Bad
925,Good
926,Bad
927,Good
928,Bad
929,Good
930,Good
931,Good
932,Good
933,Bad
934,Good
935,Good
936,Bad
937,Bad
938,Good
939,Good
940,Bad
941,Bad
942,Good
943,Bad
944,Good
945,Good
946,Bad
947,Good
948,Bad
949,Bad
950,Good
951,Good
952,Bad
953,Bad
954,Bad
955,Bad
956,Bad
957,Good
958,Good
959,Good
960,Good
961,Bad
962,Bad
963,Bad
964,Bad
965,Good
966,Bad
967,Good
968,Bad
969,Bad
970,Good
971,Bad
972,Bad
973,Bad
974,Good
975,Good
976,Good
977,Bad
978,Good
979,Good
980,Bad
981,Bad
982,Good
983,Bad
984,Bad
985,Bad
986,Good
987,Good
988,Bad
989,Bad
990,Bad
991,Bad
992,Bad
993,Bad
994,Good
995,Good
996,Good
997,Bad
998,Good
999,Bad
1000,Bad
1001,Good
1002,Bad
1003,Good
1004,Good
1005,Good
1006,Bad
1007,Bad
1008,Bad
1009,Bad
1010,Good
1011,Good
1012,Bad
1013,Good
1014,Good
1015,Bad
1016,Bad
1017,Bad
1018,Good
1019,Bad
1020,Bad
1021,Good
1022,Good
1023,Bad
1024,Bad
1025,Good
1026,Bad
1027,Good
1028,Good
1029,Good
1030,Bad
1031,Good
1032,Good
1033,Good
1034,Good
1035,Bad
1036,Bad
1037,Bad
1038,Good
1039,Bad
1040,Bad
1041,Good
1042,Bad
1043,Good
1044,Bad
1045,Bad
1046,Good
1047,Bad
1048,Bad
1049,Bad
1050,Bad
1051,Bad
1052,Bad
1053,Bad
1054,Good
1055,Good
1056,Bad
1057,Good
1058,Good
1059,Good
1060,Bad
1061,Good
1062,Good
1063,Bad
1064,Good
1065,Bad
1066,Good
1067,Bad
1068,Good
1069,Good
1070,Bad
1071,Good
1072,Bad
1073,Bad
1074,Bad
1075,Bad
1076,Good
1077,Bad
1078,Bad
1079,Good
1080,Bad
1081,Bad
1082,Good
1083,Good
1084,Good
1085,Good
1086,Good
1087,Bad
1088,Good
1089,Bad
1090,Good
1091,Bad
1092,Bad
1093,Good
1094,Bad
1095,Bad
1096,Good
1097,Good
1098,Good
1099,Bad
1100,Bad
1101,Bad
1102,Bad
1103,Bad
1104,Good
1105,Bad
1106,Bad
1107,Good
1108,Bad
1109,Bad
1110,Bad
1111,Good
1112,Good
1113,Bad
1114,Bad
1115,Good
1116,Good
1117,Bad
1118,Bad
1119,Good
1120,Good
1121,Bad
1122,Good
1123,Bad
1124,Bad
1125,Bad
1126,Good
1127,Bad
1128,Bad
1129,Bad
1130,Bad
1131,Good
1132,Bad
1133,Bad
1134,Bad
1135,Good
1136,Bad
1137,Bad
1138,Good
1139,Good
1140,Bad
1141,Good
1142,Bad
1143,Bad
1144,Bad
1145,Good
1146,Good
1147,Good
1148,Bad
1149,Good
1150,Bad
1151,Bad
1152,Good
1153,Good
1154,Good
1155,Bad
1156,Bad
1157,Bad
1158,Bad
1159,Good
1160,Bad
1161,Good
1162,Good
1163,Bad
1164,Bad
1165,Good
1166,Good
1167,Good
1168,Bad
1169,Bad
1170,Bad
1171,Bad
1172,Bad
1173,Bad
1174,Bad
1175,Good
1176,Bad
1177,Bad
1178,Bad
1179,Good
1180,Good
1181,Good
1182,Bad
1183,Bad
1184,Bad
1185,Bad
1186,Bad
1187,Bad
1188,Good
1189,Good
1190,Bad
1191,Good
1192,Bad
1193,Good
1194,Good
1195,Bad
1196,Bad
1197,Bad
1198,Bad
1199,Good
1200,Good
1201,Good
1202,Good
1203,Bad
1204,Good
1205,Bad
1206,Bad
1207,Good
1208,Good
1209,Good
1210,Good
1211,Bad
1212,Good
1213,Good
1214,Bad
1215,Bad
1216,Bad
1217,Good
1218,Bad
1219,Good
1220,Bad
1221,Good
1222,Good
1223,Good
1224,Bad
1225,Good
1226,Bad
1227,Bad
1228,Bad
1229,Good
1230,Good
1231,Bad
1232,Good
1233,Bad
1234,Bad
1235,Good
1236,Good
1237,Bad
1238,Bad
1239,Good
1240,Good
1241,Bad
1242,Good
1243,Bad
1244,Bad
1245,Bad
1246,Bad
1247,Good
1248,Bad
1249,Bad
1250,Bad
1251,Good
1252,Good
1253,Good
1254,Bad
1255,Good
1256,Good
1257,Good
1258,Bad
1259,Good
1260,Good
1261,Good
1262,Bad
1263,Bad
1264,Good
1265,Good
1266,Good
1267,Good
1268,Bad
1269,Good
1270,Bad
1271,Good
1272,Bad
1273,Good
1274,Bad
1275,Good
1276,Bad
1277,Good
1278,Good
1279,Bad
1280,Bad
1281,Bad
1282,Good
1283,Bad
1284,Bad
1285,Bad
1286,Good
1287,Bad
1288,Bad
1289,Bad
1290,Good
1291,Bad
1292,Good
1293,Good
1294,Bad
1295,Good
1296,Good
1297,Bad
1298,Bad
1299,Good
1300,Bad
1301,Good
1302,Bad
1303,Bad
1304,Bad
1305,Good
1306,Good
1307,Good
1308,Bad
1309,Bad
1310,Good
1311,Bad
1312,Good
1313,Good
1314,Good
1315,Good
1316,Bad
1317,Bad
1318,Bad
1319,Good
1320,Bad
1321,Good
1322,Bad
1323,Bad
1324,Bad
1325,Bad
1326,Bad
1327,Good
1328,Good
1329,Bad
1330,Good
1331,Good
1332,Bad
1333,Bad
1334,Bad
1335,Bad
1336,Good
1337,Good
1338,Bad
1339,Bad
1340,Good
1341,Bad
1342,Bad
1343,Bad
1344,Good
1345,Bad
1346,Bad
1347,Bad
1348,Good
1349,Bad
1350,Bad
1351,Bad
1352,Bad
1353,Good
1354,Good
1355,Good
1356,Good
1357,Good
1358,Good
1359,Bad
1360,Good
1361,Good
1362,Bad
1363,Bad
1364,Bad
1365,Bad
1366,Good
1367,Bad
1368,Good
1369,Bad
1370,Good
1371,Bad
1372,Good
1373,Bad
1374,Bad
1375,Bad
1376,Good
1377,Bad
1378,Bad
1379,Bad
1380,Bad
1381,Bad
1382,Bad
1383,Bad
1384,Bad
1385,Bad
1386,Good
1387,Good
1388,Bad
1389,Good
1390,Bad
1391,Bad
1392,Bad
1393,Bad
1394,Good
1395,Good
1396,Bad
1397,Good
1398,Good
1399,Bad
1400,Good
1401,Bad
1402,Bad
1403,Good
1404,Bad
1405,Good
1406,Bad
1407,Good
1408,Bad
1409,Bad
1410,Bad
1411,Good
1412,Bad
1413,Bad
1414,Bad
1415,Good
1416,Good
1417,Good
1418,Bad
1419,Good
1420,Good
1421,Bad
1422,Bad
1423,Bad
1424,Good
1425,Good
1426,Bad
1427,Bad
1428,Good
1429,Good
1430,Good
1431,Bad
1432,Bad
1433,Bad
1434,Bad
1435,Bad
1436,Bad
1437,Bad
1438,Bad
1439,Good
1440,Bad
1441,Good
1442,Good
1443,Good
1444,Bad
1445,Good
1446,Good
1447,Bad
1448,Good
1449,Bad
1450,Bad
1451,Bad
1452,Bad
1453,Good
1454,Bad
1455,Bad
1456,Bad
1457,Good
1458,Good
1459,Bad
1460,Bad
1461,Good
1462,Bad
1463,Bad
1464,Good
1465,Good
1466,Bad
1467,Bad
1468,Bad
1469,Good
1470,Good
1471,Good
1472,Bad
1473,Bad
1474,Good
1475,Bad
1476,Bad
1477,Bad
1478,Good
1479,Good
1480,Bad
1481,Bad
1482,Bad
1483,Good
1484,Good
1485,Bad
1486,Bad
1487,Good
1488,Good
1489,Bad
1490,Good
1491,Good
1492,Bad
1493,Good
1494,Bad
1495,Good
1496,Bad
1497,Good
1498,Bad
1499,Good
1500,Bad
1501,Bad
1502,Good
1503,Bad
1504,Good
1505,Good
1506,Bad
1507,Bad
1508,Bad
1509,Good
1510,Bad
1511,Bad
1512,Good
1513,Good
1514,Bad
1515,Good
1516,Bad
1517,Good
1518,Good
1519,Bad
1520,Good
1521,Good
1522,Bad
1523,Good
1524,Bad
1525,Bad
1526,Bad
1527,Bad
1528,Good
1529,Bad
1530,Bad
1531,Good
1532,Good
1533,Good
1534,Good
1535,Good
1536,Bad
1537,Bad
1538,Good
1539,Bad
1540,Bad
1541,Good
1542,Bad
1543,Bad
1544,Good
1545,Good
1546,Bad
1547,Good
1548,Bad
1549,Good
1550,Good
1551,Bad
1552,Good
1553,Good
1554,Bad
1555,Bad
1556,Good
1557,Good
1558,Good
1559,Bad
1560,Bad
1561,Bad
1562,Bad
1563,Good
1564,Bad
1565,Bad
1566,Good
1567,Good
1568,Good
1569,Bad
1570,Good
1571,Bad
1572,Bad
1573,Good
1574,Bad
1575,Good
1576,Good
1577,Good
1578,Good
1579,Good
1580,Bad
1581,Bad
1582,Bad
1583,Good
1584,Good
1585,Good
1586,Bad
1587,Bad
1588,Good
1589,Bad
1590,Bad
1591,Bad
1592,Bad
1593,Bad
1594,Good
1595,Good
1596,Bad
1597,Good
1598,Good
1599,Bad
1600,Bad
1601,Good
1602,Bad
1603,Good
1604,Bad
1605,Good
1606,Bad
1607,Good
1608,Good
1609,Bad
1610,Good
1611,Bad
1612,Bad
1613,Bad
1614,Good
1615,Good
1616,Good
1617,Bad
1618,Bad
1619,Good
1620,Bad
1621,Bad
1622,Bad
1623,Good
1624,Bad
1625,Bad
1626,Good
1627,Good
1628,Bad
1629,Good
1630,Bad
1631,Bad
1632,Bad
1633,Good
1634,Good
1635,Bad
1636,Bad
1637,Good
1638,Good
1639,Good
1640,Good
1641,Good
1642,Bad
1643,Bad
1644,Bad
1645,Bad
1646,Bad
1647,Bad
1648,Good
1649,Bad
1650,Bad
1651,Good
1652,Bad
1653,Good
1654,Bad
1655,Bad
1656,Bad
1657,Good
1658,Good
1659,Good
1660,Good
1661,Good
1662,Good
1663,Good
1664,Good
1665,Bad
1666,Good
1667,Good
1668,Bad
1669,Good
1670,Good
1671,Good
1672,Bad
1673,Bad
1674,Bad
1675,Good
1676,Bad
1677,Good
1678,Bad
1679,Good
1680,Bad
1681,Good
1682,Good
1683,Bad
1684,Good
1685,Good
1686,Bad
1687,Bad
1688,Good
1689,Bad
1690,Good
1691,Good
1692,Good
1693,Bad
1694,Bad
1695,Good
1696,Bad
1697,Bad
1698,Bad
1699,Bad
1700,Good
1701,Good
1702,Good
1703,Bad
1704,Good
1705,Bad
1706,Good
1707,Good
1708,Bad
1709,Good
1710,Good
1711,Good
1712,Bad
1713,Bad
1714,Good
1715,Bad
1716,Bad
1717,Bad
1718,Good
1719,Bad
1720,Bad
1721,Good
1722,Bad
1723,Good
1724,Bad
1725,Bad
1726,Good
1727,Bad
1728,Bad
1729,Good
1730,Good
1731,Bad
1732,Good
1733,Good
1734,Bad
1735,Good
1736,Good
1737,Good
1738,Good
1739,Good
1740,Good
1741,Good
1742,Bad
1743,Good
1744,Good
1745,Good
1746,Good
1747,Good
1748,Bad
1749,Bad
1750,Bad
1751,Bad
1752,Good
1753,Bad
1754,Good
1755,Bad
1756,Good
1757,Bad
1758,Good
1759,Good
1760,Bad
1761,Good
1762,Bad
1763,Good
1764,Bad
1765,Good
1766,Bad
1767,Bad
1768,Bad
1769,Bad
1770,Bad
1771,Bad
1772,Bad
1773,Good
1774,Good
1775,Bad
1776,Bad
1777,Good
1778,Good
1779,Bad
1780,Bad
1781,Good
1782,Good
1783,Bad
1784,Good
1785,Good
1786,Bad
1787,Bad
1788,Good
1789,Good
1790,Bad
1791,Good
1792,Good
1793,Bad
1794,Good
1795,Bad
1796,Good
1797,Good
1798,Bad
1799,Good
1800,Good
1801,Good
1802,Good
1803,Bad
1804,Bad
1805,Good
1806,Good
1807,Bad
1808,Good
1809,Bad
1810,Good
1811,Bad
1812,Good
1813,Bad
1814,Bad
1815,Good
1816,Good
1817,Good
1818,Bad
1819,Bad
1820,Bad
1821,Good
1822,Bad
1823,Good
1824,Good
1825,Good
1826,Good
1827,Bad
1828,Bad
1829,Good
1830,Good
1831,Good
1832,Good
1833,Good
1834,Bad
1835,Bad
1836,Bad
1837,Good
1838,Good
1839,Bad
1840,Good
1841,Good
1842,Good
1843,Good
1844,Bad
1845,Bad
1846,Good
1847,Good
1848,Good
1849,Bad
1850,Bad
1851,Good
1852,Good
1853,Good
1854,Bad
1855,Good
1856,Bad
1857,Bad
1858,Bad
1859,Good
1860,Good
1861,Good
1862,Good
1863,Good
1864,Bad
1865,Bad
1866,Good
1867,Good
1868,Good
1869,Good
1870,Bad
1871,Good
1872,Good
1873,Good
1874,Bad
1875,Good
1876,Bad
1877,Bad
1878,Bad
1879,Bad
1880,Bad
1881,Bad
1882,Good
1883,Bad
1884,Bad
1885,Bad
1886,Good
1887,Bad
1888,Good
1889,Bad
1890,Good
1891,Good
1892,Good
1893,Good
1894,Good
1895,Bad
1896,Good
1897,Bad
1898,Good
1899,Good
1900,Bad
1901,Good
1902,Bad
1903,Good
1904,Good
1905,Bad
1906,Bad
1907,Good
1908,Good
1909,Good
1910,Good
1911,Bad
1912,Bad
1913,Good
1914,Good
